=== XOJITExecutor exports ===
/System/Library/PrivateFrameworks/XOJITExecutor.framework/Versions/A/XOJITExecutor [arm64e]:
    -exports:
        offset      symbol
        0x0000178C  _$s13XOJITExecutorAAC10connectionABSo13OS_xpc_object_p_tcfC
        0x00004A7C  _$s13XOJITExecutorAAC10connectionABSo13OS_xpc_object_p_tcfCTj
        0x0000C96C  _$s13XOJITExecutorAAC10connectionABSo13OS_xpc_object_p_tcfCTq
        0x000017CC  _$s13XOJITExecutorAAC10connectionABSo13OS_xpc_object_p_tcfc
        0x00002100  _$s13XOJITExecutorAAC10disconnectyyF
        0x00001508  _$s13XOJITExecutorAAC14JITDylibHandleV2eeoiySbAD_ADtFZ
        0x000014E4  _$s13XOJITExecutorAAC14JITDylibHandleV8rawValues6UInt64VvM
        0x000014D4  _$s13XOJITExecutorAAC14JITDylibHandleV8rawValues6UInt64Vvg
        0x0000C6E8  _$s13XOJITExecutorAAC14JITDylibHandleV8rawValues6UInt64VvpMV
        0x000014DC  _$s13XOJITExecutorAAC14JITDylibHandleV8rawValues6UInt64Vvs
        0x00004A90  _$s13XOJITExecutorAAC14JITDylibHandleVMa
        0x0000C974  _$s13XOJITExecutorAAC14JITDylibHandleVMn
        0x264C3570  _$s13XOJITExecutorAAC14JITDylibHandleVN
        0x0000C658  _$s13XOJITExecutorAAC14JITDylibHandleVSQAAMc
        0x0000C7C8  _$s13XOJITExecutorAAC17TerminationResultO10badCommandyA2DmFWC
        0x0000C7D0  _$s13XOJITExecutorAAC17TerminationResultO11failedSetupyA2DmFWC
        0x0000C7CC  _$s13XOJITExecutorAAC17TerminationResultO16remoteDisconnectyA2DmFWC
        0x00001520  _$s13XOJITExecutorAAC17TerminationResultO2eeoiySbAD_ADtFZ
        0x00001534  _$s13XOJITExecutorAAC17TerminationResultO4hash4intoys6HasherVz_tF
        0x0000C7C4  _$s13XOJITExecutorAAC17TerminationResultO7successyA2DmFWC
        0x00001560  _$s13XOJITExecutorAAC17TerminationResultO9hashValueSivg
        0x0000C6EC  _$s13XOJITExecutorAAC17TerminationResultO9hashValueSivpMV
        0x00004C10  _$s13XOJITExecutorAAC17TerminationResultOMa
        0x0000C990  _$s13XOJITExecutorAAC17TerminationResultOMn
        0x264C3608  _$s13XOJITExecutorAAC17TerminationResultON
        0x0000C6A8  _$s13XOJITExecutorAAC17TerminationResultOSHAAMc
        0x0000C680  _$s13XOJITExecutorAAC17TerminationResultOSQAAMc
        0x000027BC  _$s13XOJITExecutorAAC18waitForTerminationyyF
        0x000027E0  _$s13XOJITExecutorAAC28handleRunProgramOnMainThreadyyF
        0x00002258  _$s13XOJITExecutorAAC5start18terminationHandleryyAB17TerminationResultOc_tF
        0x00004A40  _$s13XOJITExecutorAACMa
        0x21D38B78  _$s13XOJITExecutorAACMm
        0x0000C938  _$s13XOJITExecutorAACMn
        0x0000C770  _$s13XOJITExecutorAACMo
        0x00004A64  _$s13XOJITExecutorAACMu
        0x21D38BB8  _$s13XOJITExecutorAACN
        0x000020CC  _$s13XOJITExecutorAACfD
        0x00001FF8  _$s13XOJITExecutorAACfd
        0x1FAFA470  ___jit_debug_descriptor
        0x00006A60  ___jit_debug_register_code
        0x00006168  ___xojit_executor_run_program_on_main_thread
        0x00006334  ___xojit_executor_run_program_wrapper
        0x00005C78  ___xojit_executor_write_mem
        0x00006A44  ___xojit_run_wrapper
        0x00006A64  _llvm_orc_registerJITLoaderGDBAllocAction
