# mem-diff: /tmp/w3-mem-before-e3.snap -> /tmp/w3-mem-after-e3.snap
# 131 regions in before, 131 in after
REGION_ONLY_IN_BEFORE addr=0x100508000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10050c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10051c000 size=32768
REGION_ONLY_IN_BEFORE addr=0x100554000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100558000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10055c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100560000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100564000 size=32768
DIFF addr=0x10056c000 len=78 region=0x10056c000+0 prot=0x705 before=cffaedfe0c000001020000800600000011000000f80500008500100000000000 after=62706c6973743030d30102030102045756657273696f6e554275696c645f1011
DIFF addr=0x10056c051 len=1 region=0x10056c000+81 prot=0x705 before=40 after=00
DIFF addr=0x10056c054 len=2 region=0x10056c000+84 prot=0x705 before=0000 after=0101
DIFF addr=0x10056c058 len=1 region=0x10056c000+88 prot=0x705 before=05 after=00
DIFF addr=0x10056c05c len=2 region=0x10056c000+92 prot=0x705 before=0500 after=0005
DIFF addr=0x10056c060 len=1 region=0x10056c000+96 prot=0x705 before=05 after=00
DIFF addr=0x10056c068 len=6 region=0x10056c000+104 prot=0x705 before=5f5f74657874 after=000000000049
DIFF addr=0x10056c078 len=6 region=0x10056c000+120 prot=0x705 before=5f5f54455854 after=000000000000
DIFF addr=0x10056c088 len=2 region=0x10056c000+136 prot=0x705 before=3806 after=0000
DIFF addr=0x10056c090 len=2 region=0x10056c000+144 prot=0x705 before=d405 after=0000
DIFF addr=0x10056c098 len=2 region=0x10056c000+152 prot=0x705 before=3806 after=0000
DIFF addr=0x10056c09c len=1 region=0x10056c000+156 prot=0x705 before=02 after=00
DIFF addr=0x10056c0a9 len=1 region=0x10056c000+169 prot=0x705 before=04 after=00
DIFF addr=0x10056c0ab len=1 region=0x10056c000+171 prot=0x705 before=80 after=00
DIFF addr=0x10056c0b8 len=12 region=0x10056c000+184 prot=0x705 before=5f5f617574685f7374756273 after=000000000000000000000000
DIFF addr=0x10056c0c8 len=6 region=0x10056c000+200 prot=0x705 before=5f5f54455854 after=000000000000
DIFF addr=0x10056c0d8 len=2 region=0x10056c000+216 prot=0x705 before=0c0c after=0000
