# mem-diff: /tmp/w3-mem-before-e6.snap -> /tmp/w3-mem-after-e6.snap
# 130 regions in before, 132 in after
REGION_ONLY_IN_BEFORE addr=0x1049c4000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049c8000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049d8000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a10000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a14000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a18000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a1c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a20000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a28000 size=16384
DIFF addr=0x104a2c000 len=5 region=0x104a2c000+0 prot=0x301 before=843a228701 after=0000000600
DIFF addr=0x104a2c007 len=6 region=0x104a2c000+7 prot=0x301 before=008023228701 after=480000005000
DIFF addr=0x104a2c00f len=6 region=0x104a2c000+15 prot=0x301 before=002c35228701 after=120000006c00
DIFF addr=0x104a2c016 len=2 region=0x104a2c000+22 prot=0x301 before=0000 after=0170
DIFF addr=0x104a2c019 len=4 region=0x104a2c000+25 prot=0x301 before=500c8701 after=00002f00
DIFF addr=0x104a2c01e len=7 region=0x104a2c000+30 prot=0x301 before=0000cc28228701 after=02010000046000
DIFF addr=0x104a2c027 len=6 region=0x104a2c000+39 prot=0x301 before=0078dc5e7f02 after=29000003c400
DIFF addr=0x104a2c02e len=7 region=0x104a2c000+46 prot=0x301 before=000068e15e7f02 after=06f00000000d00
DIFF addr=0x104a2c036 len=7 region=0x104a2c000+54 prot=0x301 before=000034e35e7f02 after=044e000007c000
DIFF addr=0x104a2c03f len=6 region=0x104a2c000+63 prot=0x301 before=0044ea5e7f02 after=9800000e5f00
DIFF addr=0x104a2c046 len=7 region=0x104a2c000+70 prot=0x301 before=0000c0370c8701 after=11400000000100
DIFF addr=0x104a2c04e len=7 region=0x104a2c000+78 prot=0x301 before=000058d50d8701 after=11500000000c00
DIFF addr=0x104a2c057 len=6 region=0x104a2c000+87 prot=0x301 before=00f04fe28601 after=5c0000000000
DIFF addr=0x104a2c05f len=6 region=0x104a2c000+95 prot=0x301 before=00f4fb0b8701 after=620000007b00
DIFF addr=0x104a2c067 len=6 region=0x104a2c000+103 prot=0x301 before=0068511e8701 after=b30000000000
DIFF addr=0x104a2c06f len=6 region=0x104a2c000+111 prot=0x301 before=00fc55238701 after=b7000000c300
DIFF addr=0x104a2c076 len=7 region=0x104a2c000+118 prot=0x301 before=0000e81c0d8701 after=012c0000000000
DIFF addr=0x104a2c07e len=7 region=0x104a2c000+126 prot=0x301 before=00000cd2118701 after=01330000014200
DIFF addr=0x104a2c086 len=7 region=0x104a2c000+134 prot=0x301 before=0000289d0b8701 after=01800000000000
DIFF addr=0x104a2c08e len=7 region=0x104a2c000+142 prot=0x301 before=0000f0534ff301 after=01870000018e00
DIFF addr=0x104a2c096 len=7 region=0x104a2c000+150 prot=0x301 before=000020924ef301 after=0a120000000000
DIFF addr=0x104a2c09e len=2 region=0x104a2c000+158 prot=0x301 before=0000 after=0a20
DIFF addr=0x104a2c0a2 len=2 region=0x104a2c000+162 prot=0x301 before=0000 after=0a36
DIFF addr=0x104a2c0a6 len=2 region=0x104a2c000+166 prot=0x301 before=0000 after=0aa3
DIFF addr=0x104a2c0ae len=2 region=0x104a2c000+174 prot=0x301 before=0000 after=0aae
DIFF addr=0x104a2c0b2 len=2 region=0x104a2c000+178 prot=0x301 before=0000 after=0ac1
DIFF addr=0x104a2c0b6 len=2 region=0x104a2c000+182 prot=0x301 before=0000 after=0b3c
DIFF addr=0x104a2c0be len=2 region=0x104a2c000+190 prot=0x301 before=0000 after=0b4e
DIFF addr=0x104a2c0c2 len=2 region=0x104a2c000+194 prot=0x301 before=0000 after=0b72
DIFF addr=0x104a2c0c6 len=2 region=0x104a2c000+198 prot=0x301 before=0000 after=0be3
DIFF addr=0x104a2c0ce len=2 region=0x104a2c000+206 prot=0x301 before=0000 after=0bf0
DIFF addr=0x104a2c0d2 len=2 region=0x104a2c000+210 prot=0x301 before=0000 after=0c10
DIFF addr=0x104a2c0d6 len=2 region=0x104a2c000+214 prot=0x301 before=0000 after=0c81
DIFF addr=0x104a2c0de len=2 region=0x104a2c000+222 prot=0x301 before=0000 after=0c8e
DIFF addr=0x104a2c0e2 len=2 region=0x104a2c000+226 prot=0x301 before=0000 after=0ca8
DIFF addr=0x104a2c0e6 len=2 region=0x104a2c000+230 prot=0x301 before=0000 after=0d09
DIFF addr=0x104a2c0ee len=2 region=0x104a2c000+238 prot=0x301 before=0000 after=0d0e
DIFF addr=0x104a2c0f2 len=2 region=0x104a2c000+242 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c0f6 len=2 region=0x104a2c000+246 prot=0x301 before=0000 after=0d86
DIFF addr=0x104a2c0fe len=2 region=0x104a2c000+254 prot=0x301 before=0000 after=0d90
DIFF addr=0x104a2c102 len=2 region=0x104a2c000+258 prot=0x301 before=0000 after=0f36
DIFF addr=0x104a2c106 len=2 region=0x104a2c000+262 prot=0x301 before=0000 after=0f99
DIFF addr=0x104a2c10e len=2 region=0x104a2c000+270 prot=0x301 before=0000 after=0f9c
DIFF addr=0x104a2c112 len=2 region=0x104a2c000+274 prot=0x301 before=0000 after=0fac
DIFF addr=0x104a2c116 len=2 region=0x104a2c000+278 prot=0x301 before=0000 after=1027
DIFF addr=0x104a2c11e len=2 region=0x104a2c000+286 prot=0x301 before=0000 after=1036
DIFF addr=0x104a2c122 len=2 region=0x104a2c000+290 prot=0x301 before=0000 after=1073
DIFF addr=0x104a2c126 len=2 region=0x104a2c000+294 prot=0x301 before=0000 after=10e6
DIFF addr=0x104a2c12e len=2 region=0x104a2c000+302 prot=0x301 before=0000 after=10f1
DIFF addr=0x104a2c132 len=2 region=0x104a2c000+306 prot=0x301 before=0000 after=1104
DIFF addr=0x104a2c136 len=2 region=0x104a2c000+310 prot=0x301 before=0000 after=1170
DIFF addr=0x104a2c13e len=2 region=0x104a2c000+318 prot=0x301 before=0000 after=1174
DIFF addr=0x104a2c142 len=2 region=0x104a2c000+322 prot=0x301 before=0000 after=1180
DIFF addr=0x104a2c146 len=2 region=0x104a2c000+326 prot=0x301 before=0000 after=1204
DIFF addr=0x104a2c14e len=2 region=0x104a2c000+334 prot=0x301 before=0000 after=1214
DIFF addr=0x104a2c152 len=2 region=0x104a2c000+338 prot=0x301 before=0000 after=12bf
DIFF addr=0x104a2c156 len=2 region=0x104a2c000+342 prot=0x301 before=0000 after=1339
DIFF addr=0x104a2c15e len=2 region=0x104a2c000+350 prot=0x301 before=0000 after=1344
DIFF addr=0x104a2c162 len=2 region=0x104a2c000+354 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c166 len=2 region=0x104a2c000+358 prot=0x301 before=0000 after=140c
DIFF addr=0x104a2c16e len=2 region=0x104a2c000+366 prot=0x301 before=0000 after=140f
DIFF addr=0x104a2c173 len=1 region=0x104a2c000+371 prot=0x301 before=00 after=0c
DIFF addr=0x104a2c177 len=1 region=0x104a2c000+375 prot=0x301 before=00 after=74
DIFF addr=0x104a2c17f len=1 region=0x104a2c000+383 prot=0x301 before=00 after=79
DIFF addr=0x104a2c182 len=2 region=0x104a2c000+386 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c186 len=2 region=0x104a2c000+390 prot=0x301 before=0000 after=09f0
DIFF addr=0x104a2c18b len=1 region=0x104a2c000+395 prot=0x301 before=00 after=01
DIFF addr=0x104a2c18f len=1 region=0x104a2c000+399 prot=0x301 before=00 after=01
DIFF addr=0x104a2c192 len=2 region=0x104a2c000+402 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c196 len=2 region=0x104a2c000+406 prot=0x301 before=0000 after=09f5
DIFF addr=0x104a2c19e len=2 region=0x104a2c000+414 prot=0x301 before=0000 after=09fa
DIFF addr=0x104a2c1a2 len=2 region=0x104a2c000+418 prot=0x301 before=0000 after=0ac1
DIFF addr=0x104a2c1a6 len=2 region=0x104a2c000+422 prot=0x301 before=0000 after=0b68
DIFF addr=0x104a2c1ab len=1 region=0x104a2c000+427 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1ae len=1 region=0x104a2c000+430 prot=0x301 before=00 after=03
DIFF addr=0x104a2c1b2 len=2 region=0x104a2c000+434 prot=0x301 before=0000 after=0ac1
DIFF addr=0x104a2c1b6 len=2 region=0x104a2c000+438 prot=0x301 before=0000 after=0b6d
DIFF addr=0x104a2c1bb len=1 region=0x104a2c000+443 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1bf len=1 region=0x104a2c000+447 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1c2 len=2 region=0x104a2c000+450 prot=0x301 before=0000 after=0b72
DIFF addr=0x104a2c1c6 len=2 region=0x104a2c000+454 prot=0x301 before=0000 after=0c05
DIFF addr=0x104a2c1ce len=2 region=0x104a2c000+462 prot=0x301 before=0000 after=0c0a
DIFF addr=0x104a2c1d2 len=2 region=0x104a2c000+466 prot=0x301 before=0000 after=0c10
DIFF addr=0x104a2c1d6 len=2 region=0x104a2c000+470 prot=0x301 before=0000 after=0ca3
DIFF addr=0x104a2c1db len=1 region=0x104a2c000+475 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1de len=1 region=0x104a2c000+478 prot=0x301 before=00 after=03
DIFF addr=0x104a2c1e2 len=2 region=0x104a2c000+482 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c1e6 len=2 region=0x104a2c000+486 prot=0x301 before=0000 after=0da2
DIFF addr=0x104a2c1eb len=1 region=0x104a2c000+491 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1ee len=2 region=0x104a2c000+494 prot=0x301 before=0000 after=01ff
DIFF addr=0x104a2c1f2 len=2 region=0x104a2c000+498 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c1f6 len=2 region=0x104a2c000+502 prot=0x301 before=0000 after=0da7
DIFF addr=0x104a2c1fb len=1 region=0x104a2c000+507 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1ff len=1 region=0x104a2c000+511 prot=0x301 before=00 after=0f
DIFF addr=0x104a2c202 len=2 region=0x104a2c000+514 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c206 len=2 region=0x104a2c000+518 prot=0x301 before=0000 after=0dac
DIFF addr=0x104a2c20b len=1 region=0x104a2c000+523 prot=0x301 before=00 after=01
DIFF addr=0x104a2c20e len=1 region=0x104a2c000+526 prot=0x301 before=00 after=03
DIFF addr=0x104a2c212 len=2 region=0x104a2c000+530 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c216 len=2 region=0x104a2c000+534 prot=0x301 before=0000 after=0db1
DIFF addr=0x104a2c21b len=1 region=0x104a2c000+539 prot=0x301 before=00 after=01
DIFF addr=0x104a2c21f len=1 region=0x104a2c000+543 prot=0x301 before=00 after=07
DIFF addr=0x104a2c222 len=2 region=0x104a2c000+546 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c226 len=2 region=0x104a2c000+550 prot=0x301 before=0000 after=0db6
DIFF addr=0x104a2c22b len=1 region=0x104a2c000+555 prot=0x301 before=00 after=01
DIFF addr=0x104a2c22e len=1 region=0x104a2c000+558 prot=0x301 before=00 after=04
DIFF addr=0x104a2c232 len=2 region=0x104a2c000+562 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c236 len=2 region=0x104a2c000+566 prot=0x301 before=0000 after=0dbb
DIFF addr=0x104a2c23e len=2 region=0x104a2c000+574 prot=0x301 before=0000 after=0dc0
DIFF addr=0x104a2c242 len=2 region=0x104a2c000+578 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c246 len=2 region=0x104a2c000+582 prot=0x301 before=0000 after=0ddd
DIFF addr=0x104a2c24b len=1 region=0x104a2c000+587 prot=0x301 before=00 after=01
